fuel_type_code,station_name,access_code,ev_network,facility_type,name,address,city,state_province,postal_code,country,latitude,longitude,full_address,source,state_name,state_abbr,state_fips,county_name,county_fips,county_fips_full,zcta,cbsa_code,cbsa_name,city_name,census_tract,block_group,geoid,lat_r_census,lon_r_census,population_density,median_age,median_age_source,population_density_source,household_size,household_size_source,urban_rural_mismatch,urban_rural,median_household_income,median_household_income_source,education_bachelors_plus_pct,education_bachelors_plus_pct_source,unemployment_rate,unemployment_rate_source,poverty_rate,poverty_rate_source,median_home_value,median_gross_rent,median_home_value_rent,median_home_value_source,median_gross_rent_source,median_home_value_rent_source,highway_proximity_m,highway_proximity_censored,highway_proximity_source,restore_index
ELEC,TXB MARKET BONHAM 02,public,ChargePoint Network,,TXB MARKET BONHAM 02,2255 State Hwy 121,Bonham,TX,75418.0,US,33.603885,-96.193016,"2255 State Hwy 121, Bonham, TX, 75418, US",AFDC,Texas,TX,48,Fannin County,147,48147,75418.0,206.0,"Dallas-Fort Worth, TX-OK",Fannin County,48147950402,4.0,48147950402.0,33.603885,-96.193016,69.81,41.1,tract,tract,2.44,tract,True,Urban,71066.0,tract,26.73,tract,6.14,tract,13.41,tract,222800.0,1150.0,193.739,tract,tract,tract,36403.4,False,primaryroads:tl_2025_us_primaryroads.shp,64000
ELEC,TXB MARKET BONHAM 01,public,ChargePoint Network,,TXB MARKET BONHAM 01,2255 State Hwy 121,Bonham,TX,75418.0,US,33.60393,-96.193027,"2255 State Hwy 121, Bonham, TX, 75418, US",AFDC,Texas,TX,48,Fannin County,147,48147,75418.0,206.0,"Dallas-Fort Worth, TX-OK",Fannin County,48147950402,4.0,48147950402.0,33.60393,-96.193027,69.81,41.1,tract,tract,2.44,tract,True,Urban,71066.0,tract,26.73,tract,6.14,tract,13.41,tract,222800.0,1150.0,193.739,tract,tract,tract,36401.5,False,primaryroads:tl_2025_us_primaryroads.shp,64001
ELEC,Whitestone Market - Tesla Supercharger,public,Tesla,SHOPPING_CENTER,Whitestone Market - Tesla Supercharger,2800 E Whitestone Blvd,Cedar Park,TX,78613.0,US,30.533771,-97.784274,"2800 E Whitestone Blvd, Cedar Park, TX, 78613, US",AFDC,Texas,TX,48,Williamson County,491,48491,78613.0,12420.0,"Austin-Round Rock-Georgetown, TX",Cedar Park,48491020348,1.0,48491020348.0,30.533771,-97.784274,836.41,28.9,tract,tract,2.26,tract,False,Urban,82274.0,tract,65.2,tract,2.23,tract,5.61,tract,574200.0,1763.0,241.047,tract,tract,county,3059.0,False,primaryroads:tl_2025_us_primaryroads.shp,64002
ELEC,Brightleaf,public,Blink Network,,Brightleaf,14115 North Highway 183,Austin,TX,78717.0,US,30.48124658039935,-97.80166458,"14115 North Highway 183, Austin, TX, 78717, US",AFDC,Texas,TX,48,Williamson County,491,48491,78613.0,12420.0,"Austin-Round Rock-Georgetown, TX",Austin,48491020311,1.0,48491020311.0,30.48124658039935,-97.80166458,1526.35,34.6,tract,tract,2.19,tract,False,Urban,108429.0,tract,64.55,tract,5.49,tract,9.77,tract,577600.0,1856.0,241.047,tract,tract,county,112.0,False,primaryroads:tl_2025_us_primaryroads.shp,64003
ELEC,PLANO GARAGE DAL LF 1,public,ChargePoint Network,,PLANO GARAGE DAL LF 1,8010 Denton Dr,Dallas,TX,75235.0,US,32.839628,-96.853265,"8010 Denton Dr, Dallas, TX, 75235, US",AFDC,Texas,TX,48,Dallas County,113,48113,75235.0,206.0,"Dallas-Fort Worth, TX-OK",Dallas,48113980100,1.0,48113980100.0,32.839628,-96.853265,43.8,34.0,county,state,2.65,county,False,Urban,74149.0,county,34.85,county,4.89,county,13.99,county,277900.0,1469.0,189.176,county,county,county,2053.6,False,primaryroads:tl_2025_us_primaryroads.shp,64004
ELEC,PLANO GARAGE DAL LF 2,public,ChargePoint Network,,PLANO GARAGE DAL LF 2,8020 Denton Dr S,Dallas,TX,75235.0,US,32.839497,-96.853412,"8020 Denton Dr S, Dallas, TX, 75235, US",AFDC,Texas,TX,48,Dallas County,113,48113,75235.0,206.0,"Dallas-Fort Worth, TX-OK",Dallas,48113980100,1.0,48113980100.0,32.839497,-96.853412,43.8,34.0,county,state,2.65,county,False,Urban,74149.0,county,34.85,county,4.89,county,13.99,county,277900.0,1469.0,189.176,county,county,county,2038.3,False,primaryroads:tl_2025_us_primaryroads.shp,64005
ELEC,Tanger Outlets - Pittsburgh Polo Ralph Lauren,public,SHELL_RECHARGE,,Tanger Outlets - Pittsburgh Polo Ralph Lauren,15853 North Freeway,Fort Worth,TX,76177.0,US,33.021065,-97.282307,"15853 North Freeway, Fort Worth, TX, 76177, US",AFDC,Texas,TX,48,Denton County,121,48121,,206.0,"Dallas-Fort Worth, TX-OK",Fort Worth,48121020320,4.0,48121020320.0,33.021065,-97.282307,229.15,32.3,tract,tract,3.17,tract,False,Urban,129424.0,tract,46.45,tract,7.13,tract,3.74,tract,341200.0,2217.0,153.902,tract,tract,tract,306.5,False,primaryroads:tl_2025_us_primaryroads.shp,64006
ELEC,Pilot Travel Center 486,public,eVgo Network,,Pilot Travel Center 486,12881 Farm to Market Road 14 A,Tyler,TX,75706.0,US,32.45122,-95.2832,"12881 Farm to Market Road 14 A, Tyler, TX, 75706, US",AFDC,Texas,TX,48,Smith County,423,48423,75706.0,540.0,"Tyler-Jacksonville, TX",Smith County,48423001702,2.0,48423001702.0,32.45122,-95.2832,76.41,40.3,tract,tract,3.46,tract,True,Urban,66384.0,tract,10.98,tract,3.91,tract,31.66,tract,150600.0,1108.0,135.921,tract,tract,tract,189.9,False,primaryroads:tl_2025_us_primaryroads.shp,64007
ELEC,Culebra Commons - Tesla Supercharger,public,Tesla,SHOPPING_CENTER,Culebra Commons - Tesla Supercharger,7010 W Loop 1604 N,San Antonio,TX,78254.0,US,29.50349412,-98.69954759,"7010 W Loop 1604 N, San Antonio, TX, 78254, US",AFDC,Texas,TX,48,Bexar County,29,48029,78250.0,484.0,"San Antonio-New Braunfels-Pearsall, TX",San Antonio,48029181716,1.0,48029181716.0,29.50349412,-98.69954759,2028.79,34.4,tract,tract,3.16,tract,False,Urban,70439.0,tract,22.75,tract,2.84,tract,6.43,tract,182200.0,1634.0,111.506,tract,tract,tract,51.6,False,primaryroads:tl_2025_us_primaryroads.shp,64008
ELEC,MB BUCEES FORT WORTH 7-8,public,MERCEDES_BENZ,,MB BUCEES FORT WORTH 7-8,15901 N Fwy,Fort Worth,TX,76177.0,US,33.023778,-97.277319,"15901 N Fwy, Fort Worth, TX, 76177, US",AFDC,Texas,TX,48,Denton County,121,48121,,206.0,"Dallas-Fort Worth, TX-OK",Fort Worth,48121020320,4.0,48121020320.0,33.023778,-97.277319,229.15,32.3,tract,tract,3.17,tract,False,Urban,129424.0,tract,46.45,tract,7.13,tract,3.74,tract,341200.0,2217.0,153.902,tract,tract,tract,89.7,False,primaryroads:tl_2025_us_primaryroads.shp,64009
