fuel_type_code,station_name,access_code,ev_network,facility_type,name,address,city,state_province,postal_code,country,latitude,longitude,full_address,source,state_name,state_abbr,state_fips,county_name,county_fips,county_fips_full,zcta,cbsa_code,cbsa_name,city_name,census_tract,block_group,geoid,lat_r_census,lon_r_census,population_density,median_age,median_age_source,population_density_source,household_size,household_size_source,urban_rural_mismatch,urban_rural,median_household_income,median_household_income_source,education_bachelors_plus_pct,education_bachelors_plus_pct_source,unemployment_rate,unemployment_rate_source,poverty_rate,poverty_rate_source,median_home_value,median_gross_rent,median_home_value_rent,median_home_value_source,median_gross_rent_source,median_home_value_rent_source,highway_proximity_m,highway_proximity_censored,highway_proximity_source,restore_index
ELEC,Hamilton Branch State Park,public,RIVIAN_WAYPOINTS,PUBLIC,Hamilton Branch State Park,111 Campground Rd,Plum Branch,SC,29845.0,US,33.7541238,-82.2046071,"111 Campground Rd, Plum Branch, SC, 29845, US",AFDC,South Carolina,SC,45,McCormick County,65,45065,29845.0,,,McCormick County,45065920300,2.0,45065920300.0,33.7541238,-82.2046071,8.43,57.0,tract,tract,2.24,tract,False,Rural,59770.0,tract,17.63,tract,1.03,tract,21.65,tract,112100.0,810.0,138.395,tract,tract,tract,29879.0,False,primaryroads:tl_2025_us_primaryroads.shp,60000
ELEC,Keowee Toxaway State Park,public,RIVIAN_WAYPOINTS,PUBLIC,Keowee Toxaway State Park,"108 Residence Dr,",Sunset,SC,29685.0,US,34.93274,-82.8854,"108 Residence Dr,, Sunset, SC, 29685, US",AFDC,South Carolina,SC,45,Pickens County,77,45077,29685.0,273.0,"Greenville-Spartanburg-Anderson, SC",Pickens County,45077010201,2.0,45077010201.0,34.93274,-82.8854,22.02,57.7,tract,tract,2.13,tract,True,Urban,130827.0,tract,54.07,tract,5.78,tract,16.74,tract,482100.0,936.0,230.769,tract,county,county,25910.5,False,primaryroads:tl_2025_us_primaryroads.shp,60001
ELEC,Devils Fork State Park,public,RIVIAN_WAYPOINTS,PUBLIC,Devils Fork State Park,161 Holcombe Cir,Salem,SC,29676.0,US,34.95225,-82.94663,"161 Holcombe Cir, Salem, SC, 29676, US",AFDC,South Carolina,SC,45,Oconee County,73,45073,29676.0,273.0,"Greenville-Spartanburg-Anderson, SC",Oconee County,45073030201,1.0,45073030201.0,34.95225,-82.94663,14.66,51.6,tract,tract,2.22,tract,True,Urban,46563.0,tract,11.83,tract,2.26,tract,20.23,tract,157300.0,935.0,168.235,tract,tract,tract,31207.8,False,primaryroads:tl_2025_us_primaryroads.shp,60002
ELEC,Lee State Park,public,RIVIAN_WAYPOINTS,PUBLIC,Lee State Park,487 Loop Rd,Bishopville,SC,29010.0,US,34.1952208,-80.1825494,"487 Loop Rd, Bishopville, SC, 29010, US",AFDC,South Carolina,SC,45,Lee County,61,45061,29010.0,,,Lee County,45061920100,2.0,45061920100.0,34.1952208,-80.1825494,9.81,38.7,tract,tract,2.43,tract,False,Rural,60000.0,tract,12.9,tract,7.14,tract,7.95,tract,114700.0,729.0,157.339,tract,tract,tract,745.9,False,primaryroads:tl_2025_us_primaryroads.shp,60003
ELEC,H. Cooper Black Jr. Memorial Field Trial and Recreation Area,public,RIVIAN_WAYPOINTS,PUBLIC,H. Cooper Black Jr. Memorial Field Trial and Recreation Area,279 Sporting Dog Trail,Cheraw,SC,29520.0,US,34.56414,-79.92604,"279 Sporting Dog Trail, Cheraw, SC, 29520, US",AFDC,South Carolina,SC,45,Chesterfield County,25,45025,29593.0,,,Chesterfield County,45025950601,2.0,45025950601.0,34.56414,-79.92604,11.08,43.7,tract,tract,2.44,tract,False,Rural,27436.0,tract,16.72,tract,0.0,tract,34.3,tract,87800.0,235.0,130.67,tract,tract,county,36657.1,False,primaryroads:tl_2025_us_primaryroads.shp,60004
ELEC,Dreher Island State Park,public,RIVIAN_WAYPOINTS,PUBLIC,Dreher Island State Park,3677 State Park Rd.,Prosperity,SC,29127.0,US,34.08552,-81.41188,"3677 State Park Rd., Prosperity, SC, 29127, US",AFDC,South Carolina,SC,45,Newberry County,71,45071,29127.0,192.0,"Columbia-Orangeburg-Newberry, SC",Newberry County,45071950604,3.0,45071950604.0,34.08552,-81.41188,42.12,51.8,tract,tract,2.22,tract,True,Urban,76023.0,tract,35.94,tract,2.09,tract,3.43,tract,339800.0,1247.0,272.494,tract,tract,tract,20745.2,False,primaryroads:tl_2025_us_primaryroads.shp,60005
ELEC,Santee State Park,public,RIVIAN_WAYPOINTS,PUBLIC,Santee State Park,251 State Park Rd,Santee,SC,29142.0,US,33.5511592,-80.5018037,"251 State Park Rd, Santee, SC, 29142, US",AFDC,South Carolina,SC,45,Orangeburg County,75,45075,29047.0,192.0,"Columbia-Orangeburg-Newberry, SC",Orangeburg County,45075010305,1.0,45075010305.0,33.5511592,-80.5018037,51.22,69.8,tract,tract,1.7,tract,True,Urban,54625.0,tract,33.51,tract,1.32,tract,17.34,tract,256100.0,959.0,267.049,tract,tract,tract,21599.6,False,primaryroads:tl_2025_us_primaryroads.shp,60006
ELEC,Hunting Island State Park,public,RIVIAN_WAYPOINTS,PUBLIC,Hunting Island State Park,2555 Sea Island Pkwy,St Helena Island,SC,29920.0,US,32.3429079,-80.4619481,"2555 Sea Island Pkwy, St Helena Island, SC, 29920, US",AFDC,South Carolina,SC,45,Beaufort County,13,45013,29920.0,25940.0,"Hilton Head Island-Bluffton, SC",Beaufort County,45013001200,1.0,45013001200.0,32.3429079,-80.4619481,11.79,67.7,tract,tract,1.84,tract,True,Urban,100556.0,tract,64.3,tract,0.0,tract,1.6,tract,559700.0,1484.0,274.663,tract,county,county,49952.3,False,primaryroads:tl_2025_us_primaryroads.shp,60007
ELEC,Charles Towne Landing State Historic Park,public,RIVIAN_WAYPOINTS,PUBLIC,Charles Towne Landing State Historic Park,1500 Old Towne Road,Charleston,SC,29407.0,US,32.80814,-79.98645,"1500 Old Towne Road, Charleston, SC, 29407, US",AFDC,South Carolina,SC,45,Charleston County,19,45019,29407.0,16700.0,"Charleston-North Charleston, SC",Charleston,45019002606,2.0,45019002606.0,32.80814,-79.98645,360.44,48.1,tract,tract,2.35,tract,False,Urban,112010.0,tract,65.14,tract,1.38,tract,6.31,tract,448200.0,1827.0,245.32,tract,tract,tract,3097.3,False,primaryroads:tl_2025_us_primaryroads.shp,60008
ELEC,Aiken State Park,public,RIVIAN_WAYPOINTS,PUBLIC,Aiken State Park,1145 State Park Road,Windsor,SC,29856.0,US,33.5515481,-81.4987241,"1145 State Park Road, Windsor, SC, 29856, US",AFDC,South Carolina,SC,45,Aiken County,3,45003,29856.0,12260.0,"Augusta-Richmond County, GA-SC",Aiken County,45003021901,2.0,45003021901.0,33.5515481,-81.4987241,18.16,44.3,tract,tract,2.35,tract,True,Urban,41614.0,tract,16.72,tract,14.64,tract,25.97,tract,178900.0,1146.0,156.108,tract,tract,tract,18629.9,False,primaryroads:tl_2025_us_primaryroads.shp,60009
